week,home_team,away_team,home_win_prob,away_win_prob,home_score,away_score,home_preadjustment,away_preadjustment
11,PIT,CIN,0.6439,0.3561,6.88,4.81,6.38,6.06
11,TEN,HOU,0.3561,0.6439,4.37,6.44,3.12,6.44
12,ARI,JAX,0.4884,0.5116,5.69,5.85,5.44,5.85
12,BAL,NYJ,0.9115,0.0885,10.53,2.37,7.03,3.12
12,CHI,PIT,0.5357,0.4643,6.88,6.38,6.38,6.38
12,CIN,NE,0.2357,0.7643,4.06,8.18,6.06,7.18
12,DAL,PHI,0.4147,0.5853,7.38,8.59,5.38,8.59
12,DET,NYG,0.8812,0.1188,8.41,1.4,7.91,3.65
12,GB,MIN,0.686,0.314,9.15,6.41,8.15,5.91
12,HOU,BUF,0.4291,0.5709,7.44,8.44,6.44,8.44
12,KC,IND,0.6105,0.3895,10.56,8.99,8.06,7.24
12,LAR,TB,0.5168,0.4832,7.38,7.15,7.38,7.65
12,LV,CLE,0.5147,0.4853,3.88,3.68,4.38,3.18
12,NO,ATL,0.3766,0.6234,3.62,5.38,3.12,5.38
12,SF,CAR,0.5822,0.4178,7.34,6.18,7.59,5.18
12,TEN,SEA,0.2559,0.7441,3.12,6.85,3.12,6.85
13,BAL,CIN,0.864,0.136,10.53,4.06,7.03,6.06
13,CAR,LAR,0.4147,0.5853,6.18,7.38,5.18,7.38
13,CLE,SF,0.3185,0.6815,4.18,6.84,3.18,7.59
13,DAL,KC,0.3494,0.6506,6.88,9.06,5.38,8.06
13,DET,GB,0.4832,0.5168,8.41,8.65,7.91,8.15
13,IND,HOU,0.5914,0.4086,8.74,7.44,7.24,6.44
13,LAC,LV,0.806,0.194,8.87,3.88,7.12,4.38
13,MIA,NO,0.7294,0.2706,5.34,1.87,4.59,3.12
13,NE,NYG,0.8889,0.1111,8.68,1.4,7.18,3.65
13,NYJ,ATL,0.3277,0.6723,2.87,5.38,3.12,5.38
13,PHI,CHI,0.7142,0.2858,9.59,6.38,8.59,6.38
13,PIT,BUF,0.3905,0.6095,6.88,8.44,6.38,8.44
13,SEA,MIN,0.6676,0.3324,8.35,5.91,6.85,5.91
13,TB,ARI,0.6686,0.3314,7.65,5.19,7.65,5.44
13,TEN,JAX,0.3456,0.6544,3.62,5.85,3.12,5.85
13,WSH,DEN,0.3551,0.6449,7.31,9.4,6.06,7.65
14,ARI,LAR,0.4157,0.5843,6.19,7.38,5.44,7.38
14,ATL,SEA,0.5021,0.4979,6.88,6.85,5.38,6.85
14,BAL,PIT,0.7392,0.2608,10.53,6.88,7.03,6.38
14,BUF,CIN,0.843,0.157,9.44,3.56,8.44,6.06
14,CLE,TEN,0.5751,0.4249,3.68,2.62,3.18,3.12
14,DET,DAL,0.641,0.359,8.41,6.38,7.91,5.38
14,GB,CHI,0.6563,0.3437,9.15,6.88,8.15,6.38
14,JAX,IND,0.3687,0.6313,6.35,8.24,5.85,7.24
14,KC,HOU,0.7376,0.2624,10.56,6.94,8.06,6.44
14,LAC,PHI,0.4664,0.5336,8.12,8.59,7.12,8.59
14,LV,DEN,0.204,0.796,3.88,8.65,4.38,7.65
14,MIN,WSH,0.5252,0.4748,6.41,6.06,5.91,6.06
14,NYJ,MIA,0.4487,0.5513,3.37,4.09,3.12,4.59
14,TB,NO,0.8188,0.1812,7.65,2.37,7.65,3.12
15,CHI,CLE,0.7142,0.2858,6.88,3.68,6.38,3.18
15,CIN,BAL,0.1732,0.8268,4.56,10.03,6.06,7.03
15,DAL,MIN,0.5689,0.4311,6.88,5.91,5.38,5.91
15,DEN,GB,0.5709,0.4291,9.15,8.15,7.65,8.15
15,HOU,ARI,0.6225,0.3775,6.94,5.19,6.44,5.44
15,JAX,NYJ,0.7302,0.2698,5.85,2.37,5.85,3.12
15,KC,LAC,0.6676,0.3324,10.56,8.12,8.06,7.12
15,LAR,DET,0.4623,0.5377,7.38,7.91,7.38,7.91
15,NE,BUF,0.5346,0.4654,9.43,8.94,7.18,8.44
15,NO,CAR,0.2944,0.7056,2.87,5.93,3.12,5.18
15,NYG,WSH,0.2739,0.7261,2.65,6.06,3.65,6.06
15,PHI,LV,0.8548,0.1452,9.59,3.38,8.59,4.38
15,PIT,MIA,0.6582,0.3418,6.88,4.59,6.38,4.59
15,SEA,IND,0.5084,0.4916,8.35,8.24,6.85,7.24
15,SF,TEN,0.8268,0.1732,8.09,2.62,7.59,3.12
15,TB,ATL,0.5544,0.4456,7.65,6.88,7.65,5.38
16,ARI,ATL,0.4508,0.5492,5.69,6.38,5.44,5.38
16,BAL,NE,0.662,0.338,10.53,8.18,7.03,7.18
16,CAR,TB,0.4664,0.5336,6.68,7.15,5.18,7.65
16,CHI,GB,0.4456,0.5544,7.38,8.15,6.38,8.15
16,CLE,BUF,0.2282,0.7718,4.18,8.44,3.18,8.44
16,DAL,LAC,0.4477,0.5523,6.88,7.62,5.38,7.12
16,DEN,JAX,0.7193,0.2807,9.15,5.85,7.65,5.85
16,DET,PIT,0.641,0.359,8.41,6.38,7.91,6.38
16,HOU,LV,0.7344,0.2656,6.94,3.38,6.44,4.38
16,IND,SF,0.6323,0.3677,8.74,6.84,7.24,7.59
16,MIA,CIN,0.573,0.427,4.59,3.56,4.59,6.06
16,NO,NYJ,0.5357,0.4643,2.87,2.37,3.12,3.12
16,NYG,MIN,0.241,0.759,1.9,5.91,3.65,5.91
16,SEA,LAR,0.5336,0.4664,8.35,7.88,6.85,7.38
16,TEN,KC,0.1548,0.8452,3.12,9.06,3.12,8.06
16,WSH,PHI,0.359,0.641,6.56,8.59,6.06,8.59
17,ATL,LAR,0.4643,0.5357,6.88,7.38,5.38,7.38
17,BUF,PHI,0.5606,0.4394,9.44,8.59,8.44,8.59
17,CAR,SEA,0.4518,0.5482,6.18,6.85,5.18,6.85
17,CIN,ARI,0.4198,0.5802,4.06,5.19,6.06,5.44
17,CLE,PIT,0.3805,0.6195,4.68,6.38,3.18,6.38
17,GB,BAL,0.4373,0.5627,9.15,10.03,8.15,7.03
17,IND,JAX,0.6639,0.3361,8.74,6.35,7.24,5.85
17,KC,DEN,0.5995,0.4005,10.56,9.15,8.06,7.65
17,LAC,HOU,0.5833,0.4167,8.12,6.94,7.12,6.44
17,LV,NYG,0.6704,0.3296,3.88,1.4,4.38,3.65
17,MIA,TB,0.357,0.643,5.09,7.15,4.59,7.65
17,MIN,DET,0.4291,0.5709,6.91,7.91,5.91,7.91
17,NYJ,NE,0.202,0.798,3.37,8.18,3.12,7.18
17,SF,CHI,0.5679,0.4321,7.34,6.38,7.59,6.38
17,TEN,NO,0.6225,0.3775,3.62,1.87,3.12,3.12
17,WSH,DAL,0.5126,0.4874,6.56,6.38,6.06,5.38
18,ATL,NO,0.7319,0.2681,5.88,2.37,5.38,3.12
18,BUF,NYJ,0.0,0.0,9.44,2.87,8.44,3.12
18,CHI,DET,0.4623,0.5377,7.38,7.91,6.38,7.91
18,CIN,CLE,0.5273,0.4727,4.06,3.68,6.06,3.18
18,DEN,LAC,0.573,0.427,9.15,8.12,7.65,7.12
18,HOU,IND,0.0,0.0,7.94,8.24,6.44,7.24
18,JAX,TEN,0.686,0.314,5.85,3.12,5.85,3.12
18,LAR,ARI,0.6185,0.3815,7.38,5.69,7.38,5.44
18,LV,KC,0.0,0.0,3.88,9.06,4.38,8.06
18,MIN,GB,0.4127,0.5873,6.91,8.15,5.91,8.15
18,NE,MIA,0.736,0.264,8.68,5.09,7.18,4.59
18,NYG,DAL,0.2988,0.7012,2.4,5.38,3.65,5.38
18,PHI,WSH,0.0,0.0,9.59,6.06,8.59,6.06
18,PIT,BAL,0.3194,0.6806,7.38,10.03,6.38,7.03
18,SF,SEA,0.4989,0.5011,7.34,7.35,7.59,6.85
18,TB,CAR,0.0,0.0,7.65,6.68,7.65,5.18
